To,From,Current Behavior,New Behavior,AI Needed?,If AI Needed How and Why,Part of Planned Script
Reschedule,Routine,Adriel might move a routine card if skipping today.,Event-driven: Script finds today's instance. Preserves ORIGINAL TIME (routine time is sacred). Checks target day at same time. If FREE: moves instance to target day at same time. If CONFLICT: compares priority — routine ALWAYS wins at same or higher priority. P1 routine bumps any P1/P2/P3 conflict. P2 routine bumps P2/P3 conflict. P3 routine bumps P3 conflict. Only if routine is LOWER priority than conflict does routine get bumped. Bumped item goes to next free slot. Target day: same day if possible otherwise next day (daily) or preserve interval (weekly/bi-weekly). Card goes to Scheduled.,No,Deterministic: preserve time check conflict compare priority. Routine wins at same or higher priority. Only lower priority routine gets bumped. No AI.,silent (no handler)
Missed,Routine,Not typical for Routine.,Allowed if recurring event was missed. Prompt: Missed dog walk today — still do it tomorrow?,No,Deterministic: If routine was missed (not marked Done and calendar block passed) move to Missed. Next instance handled by recurring series. No AI.,Cheryl cron (disabled)
Backlog,Reschedule,Not typical.,Event-driven: Webhook fires -> intake handler routes to Ubi. Reminder: moving to Backlog means Adriel wants Ubi to work on it and move toward Done. Ubi triages per Backlog rules. If card truly deprioritized delete calendar event and leave in Backlog with work plan. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) determines if card is truly deprioritized or just needs different scheduling.,bridge-wake → Ubi main
Scheduled,Reschedule,Currently: Ubi moves cards back without Cheryl's calendar work (broken). Cron sweep sometimes does this.,Event-driven: Script reads priority calculates new date checks conflicts moves calendar event moves card back to Scheduled. Same handler for all ->Reschedule transitions.,No,Fully deterministic script. No AI no A2A.,handle_reschedule.mjs
Adriel Focus,Reschedule,Not done automatically.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only.,NO_SCRIPT
Blocked,Reschedule,Not typical.,Event-driven: Webhook fires -> routes to Marcos. Marcos checks card for blocker comment. If NO blocker comment: investigates card attempts to implement the work. If successful moves to Done or Backlog. If blocker discovered during investigation: moves to Blocked comments @adriellopez1 with specific blocker. If blocker comment EXISTS: checks if resolvable. If resolvable: resolves moves to Backlog. If unresolvable: leaves in Blocked comments @adriellopez1. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Done,Reschedule,Forbidden — Reschedule cards aren't done.,Forbidden — move to Scheduled first then Done.,No,N/A — forbidden transition.,NO_SCRIPT
Routine,Reschedule,Not typical.,Allowed if card becomes recurring.,No,Deterministic: create recurring event move to Routine.,bridge classification
Missed,Reschedule,Not typical.,Forbidden — if missed move to Scheduled or Backlog not Reschedule.,No,N/A — forbidden transition.,NO_SCRIPT
Backlog,Missed,Not typical.,Event-driven: Webhook fires -> intake handler routes to Ubi. Reminder: moving to Backlog means Adriel wants Ubi to work on it and move toward Done. Ubi triages per Backlog rules. Comments why missed and commits to next attempt. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) determines if missed work should be deprioritized or if card was moved by mistake.,bridge-wake → Ubi main
Scheduled,Missed,Adriel says reschedule -> Ubi moves to Scheduled. Sometimes without calendar event.,Allowed — script creates calendar event first. Never Scheduled without calendar block.,No,Deterministic: check if calendar event exists. If not create via gog-calendar then move.,silent (no handler)
Adriel Focus,Missed,Not done automatically.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only.,NO_SCRIPT
Blocked,Missed,Not typical.,Event-driven: Webhook fires -> routes to Marcos. Marcos checks card for blocker comment. If NO blocker comment: investigates card attempts to implement the work. If successful moves to Done or Backlog. If blocker discovered during investigation: moves to Blocked comments @adriellopez1 with specific blocker. If blocker comment EXISTS: checks if resolvable. If resolvable: resolves moves to Backlog. If unresolvable: leaves in Blocked comments @adriellopez1. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Done,Missed,Adriel says drop it -> Ubi moves to Done.,Allowed — comment Missed dropped per Adriel.,No,Deterministic: move to Done with drop comment.,silent (no handler)
Routine,Missed,Not typical.,Allowed if missed work was a one-off routine skip and should be reinstated as recurring. Script creates new recurring event series starting today.,No,Deterministic: create recurring event series from today. Move card to Routine.,silent (no handler)
Reschedule,Missed,Forbidden — Missed->Reschedule is circular.,Allowed — Adriel decided item needs a calendar block. Script reads priority calculates new date creates calendar event moves card to Scheduled. Same as Done->Reschedule handler.,No,Deterministic: read priority create calendar event set due date move to Scheduled. No AI.,handle_reschedule.mjs
